Router Name,ACL ID,Action,Protocol,Source,Destination,Extra,Interface (In/Out)
sozb,120,permit,ip,any,any,,"Vlan332 (in), Vlan334 (in), Vlan336 (in), Vlan340 (in), Vlan344 (in), Vlan348 (in), Vlan352 (in), Vlan354 (in), Vlan356 (in), Vlan364 (in), Vlan368 (in), Vlan376 (in), Vlan380 (in), Vlan388 (in), Vlan392 (in), Vlan400 (in), Vlan401 (in), Vlan418 (in), Vlan424 (in), Vlan492 (in), Vlan493 (in), Vlan911 (in)"
sozb,121,permit,ip,172.19.60.0 0.0.3.255,172.24.136.192 0.0.0.31,,
sozb,121,permit,ip,172.19.60.0 0.0.3.255,172.27.143.160 0.0.0.31,,
sozb,121,permit,ip,172.19.60.0 0.0.3.255,171.64.10.190,,
sozb,121,permit,ip,172.19.60.0 0.0.3.255,171.64.11.94,,
sozb,121,permit,ip,172.19.60.0 0.0.3.255,171.64.11.97,,
sozb,121,permit,ip,172.19.60.0 0.0.3.255,171.64.11.106,,
sozb,121,permit,ip,172.19.60.0 0.0.3.255,171.64.11.133,,
sozb,121,permit,ip,172.19.60.0 0.0.3.255,171.64.11.202,,
sozb,121,permit,ip,172.19.60.0 0.0.3.255,10.64.10.100,,
sozb,121,permit,ip,172.19.60.0 0.0.3.255,171.67.43.194,,
sozb,121,deny,ip,172.19.60.0 0.0.3.255,any,,
sozb,121,permit,ip,172.19.44.0 0.0.1.255,172.24.136.192 0.0.0.31,,
sozb,121,permit,ip,172.19.44.0 0.0.1.255,172.27.143.160 0.0.0.31,,
sozb,121,permit,ip,172.19.44.0 0.0.1.255,171.64.10.190,,
sozb,121,permit,ip,172.19.44.0 0.0.1.255,171.64.11.94,,
sozb,121,permit,ip,172.19.44.0 0.0.1.255,171.64.11.97,,
sozb,121,permit,ip,172.19.44.0 0.0.1.255,171.64.11.106,,
sozb,121,permit,ip,172.19.44.0 0.0.1.255,171.64.11.133,,
sozb,121,permit,ip,172.19.44.0 0.0.1.255,171.64.11.202,,
sozb,121,permit,ip,172.19.44.0 0.0.1.255,10.64.10.100,,
sozb,121,permit,ip,172.19.44.0 0.0.1.255,171.67.43.194,,
sozb,121,deny,ip,172.19.44.0 0.0.1.255,any,,
sozb,121,permit,ip,any,any,,
sozb,122,permit,ip,172.19.60.0 0.0.3.255,172.24.136.192 0.0.0.31,,
sozb,122,permit,ip,172.19.60.0 0.0.3.255,172.27.143.160 0.0.0.31,,
sozb,122,permit,ip,172.19.60.0 0.0.3.255,171.64.10.190,,
sozb,122,permit,ip,172.19.60.0 0.0.3.255,171.64.11.94,,
sozb,122,permit,ip,172.19.60.0 0.0.3.255,171.64.11.97,,
sozb,122,permit,ip,172.19.60.0 0.0.3.255,171.64.11.106,,
sozb,122,permit,ip,172.19.60.0 0.0.3.255,171.64.11.133,,
sozb,122,permit,ip,172.19.60.0 0.0.3.255,171.64.11.202,,
sozb,122,permit,ip,172.19.60.0 0.0.3.255,10.64.10.100,,
sozb,122,deny,ip,172.19.60.0 0.0.3.255,any,,
sozb,122,permit,ip,any,any,,
sozb,140,permit,ip,172.19.60.0 0.0.3.255,172.24.136.192 0.0.0.31,,
sozb,140,permit,ip,172.19.60.0 0.0.3.255,171.64.10.0 0.0.1.255,,
sozb,140,deny,ip,172.19.60.0 0.0.3.255,any,,
sozb,140,permit,ip,any,172.26.6.66,,
sozb,140,deny,udp,128.12.42.38,any,eq snmp,
sozb,140,deny,udp,128.12.42.39,any,eq snmp,
sozb,140,permit,ip,any,171.64.7.128 0.0.0.63,,
sozb,140,deny,tcp,any,any,eq 445,
sozb,140,permit,tcp,any,any,gt 139,
sozb,140,deny,tcp,any,any,gt 134,
sozb,140,permit,tcp,any,any,,
sozb,140,deny,udp,any,any,eq 445,
sozb,140,permit,udp,any,any,gt netbios-ss,
sozb,140,deny,udp,any,any,gt 134,
sozb,140,permit,ip,any,any,,
sozb,150,deny,tcp,any,any,eq 445,
sozb,150,permit,tcp,any,any,gt 139,
sozb,150,deny,tcp,any,any,gt 134,
sozb,150,permit,tcp,any,any,,
sozb,150,deny,udp,any,any,eq 445,
sozb,150,permit,udp,any,any,gt netbios-ss,
sozb,150,deny,udp,any,any,gt 134,
sozb,150,permit,ip,any,any,,
sozb,ctrSOZ,permit,,10.31.0.0/0.0.255.255,any,,
sozb,ctrSOZd,permit,,10.31.128.0/0.0.31.255,any,,
sozb,ctrSOZd,permit,,10.31.160.0/0.0.31.255,any,,
sozb,ctrSOZd,permit,,10.31.224.0/0.0.31.255,any,,
sozb,block-smtp,deny,tcp,any,any, eq smtp,
sozb,block-smtp,permit,ip,any,any,,
sozb,inACL,permit,ip,128.12.1.0/0.0.0.255,128.12.1.0/0.0.0.255,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,128.12.0.0/0.0.255.255,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,171.64.0.0/0.3.255.255,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,10.0.0.0/0.255.255.255,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,172.16.0.0/0.15.255.255,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,192.168.0.0/0.0.255.255,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,218.75.221.29,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,24.116.12.59,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,64.225.154.135,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,66.36.231.141,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,66.98.150.159,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,67.15.28.12,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,69.31.93.220,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,70.85.141.91,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,70.86.48.242,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,70.136.88.76,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,72.34.44.37,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,82.137.161.100,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,82.179.162.35,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,82.179.166.2,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,86.135.149.130,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,129.93.51.80,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,140.198.35.85,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,140.198.165.185,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,193.151.69.170,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,195.161.113.90,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,195.225.176.38,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,ip,204.127.198.24,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,tcp,any,any,eq sunrpc,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,tcp,any,any,eq 6651,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,tcp,any,any,eq 48522,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,tcp,any,any,eq 33571,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,tcp,any,any,eq 135,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,tcp,any,any,eq 137,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,tcp,any,any,eq 138,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,tcp,any,any,eq 139,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,tcp,any,any,eq 445,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,tcp,any,any,eq lpd,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,tcp,any,any,eq 1434,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,tcp,any,any,eq 27374,TenGigabitEthernet3/1.566 (in)
sozb,inACL,permit,tcp,any,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,udp,any,any,eq snmp,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,udp,any,any,eq tftp,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,udp,any,any,eq sunrpc,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,udp,any,any,eq 135,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,udp,any,any,eq netbios-ns,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,udp,any,any,eq netbios-dgm,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,udp,any,any,eq netbios-ss,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,udp,any,any,eq 445,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,udp,any,any,eq 1434,TenGigabitEthernet3/1.566 (in)
sozb,inACL,permit,udp,any,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,icmp,any,128.12.0.0/0.0.255.0,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,deny,icmp,any,128.12.0.255/0.0.255.0,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,permit,icmp,any,any,,TenGigabitEthernet3/1.566 (in)
sozb,inACL,permit,ip,any,any,,TenGigabitEthernet3/1.566 (in)
sozb,outACL,deny,udp,any,any,eq 8998,TenGigabitEthernet3/1.566 (out) 
sozb,outACL,deny,tcp,any,any,eq smtp,TenGigabitEthernet3/1.566 (out) 
sozb,outACL,deny,tcp,any,any,eq 135,TenGigabitEthernet3/1.566 (out) 
sozb,outACL,deny,tcp,any,any,range 137 139,TenGigabitEthernet3/1.566 (out) 
sozb,outACL,deny,tcp,any,any,eq 445,TenGigabitEthernet3/1.566 (out) 
sozb,outACL,deny,udp,any,any,eq 135,TenGigabitEthernet3/1.566 (out) 
sozb,outACL,deny,udp,any,any,range netbios-ns netbios-ss,TenGigabitEthernet3/1.566 (out) 
sozb,outACL,deny,udp,any,any,eq 445,TenGigabitEthernet3/1.566 (out) 
sozb,outACL,permit,ip,128.12.0.0/0.0.255.255,any,,TenGigabitEthernet3/1.566 (out) 
sozb,outACL,deny,ip,10.0.0.0/0.255.255.255,any,,TenGigabitEthernet3/1.566 (out) 
sozb,outACL,deny,ip,172.16.0.0/0.15.255.255,any,,TenGigabitEthernet3/1.566 (out) 
sozb,outACL,deny,ip,192.168.0.0/0.0.255.255,any,,TenGigabitEthernet3/1.566 (out) 
sozb,outACL,deny,ip,any,any,,TenGigabitEthernet3/1.566 (out) 
